event_id,event_name,entity,entity_type,pct_global_CO2_1854_2022,loss_eur_low,loss_eur_central,loss_eur_high
E1,April 2023 Iberian heatwave,Cyprus AMAX Minerals,investor_owned,0.13,22250.631705146283,27813.289631432854,38938.60548400599
E1,April 2023 Iberian heatwave,Westmoreland Mining,investor_owned,0.12,20258.554907877446,25323.193634846804,35452.471088785525
E1,April 2023 Iberian heatwave,BASF (Wintershall Dea),investor_owned,0.11,20033.3636177514,25041.70452218925,35058.38633106495
E1,April 2023 Iberian heatwave,American Consolidated Natural Resources,investor_owned,0.11,19401.095764705206,24251.36970588151,33951.91758823411
E1,April 2023 Iberian heatwave,Exxaro Resources Ltd,investor_owned,0.11,18708.199487394304,23385.24935924288,32739.34910294003
E1,April 2023 Iberian heatwave,Bapco Energies,state_owned,0.1,18422.37977300356,23027.974716254448,32239.164602756224
E1,April 2023 Iberian heatwave,Adaro Energy,investor_owned,0.1,17911.368768486773,22389.210960608463,31344.895344851844
E1,April 2023 Iberian heatwave,YPF,state_owned,0.1,17660.193867961567,22075.24233495196,30905.339268932737
E1,April 2023 Iberian heatwave,Cenovus Energy,investor_owned,0.1,17019.264811448986,21274.081014311236,29783.71342003572
E1,April 2023 Iberian heatwave,APA Corporation,investor_owned,0.1,17010.6036079826,21263.25450997825,29768.556313969544
E1,April 2023 Iberian heatwave,Banpu,investor_owned,0.1,16828.71833518849,21035.89791898561,29450.25708657985
E1,April 2023 Iberian heatwave,PetroEcuador,state_owned,0.1,16646.833062394377,20808.54132799297,29131.957859190155
E1,April 2023 Iberian heatwave,EOG Resources,investor_owned,0.09,15642.133460293573,19552.666825366967,27373.733555513747
E1,April 2023 Iberian heatwave,Alliance Resource Partners,investor_owned,0.09,15390.95855976837,19238.698199710463,26934.177479594644
E1,April 2023 Iberian heatwave,Kiewit Mining Group,investor_owned,0.09,14628.772654726381,18285.965818407978,25600.35214577116
E1,April 2023 Iberian heatwave,Heidelberg Materials,investor_owned,0.09,14585.46663739445,18231.83329674306,25524.566615440282
E1,April 2023 Iberian heatwave,North American Coal,investor_owned,0.08,14239.018498738998,17798.773123423747,24918.28237279324
E1,April 2023 Iberian heatwave,Chesapeake Energy,investor_owned,0.07,13935.87637741548,17419.84547176935,24387.783660477086
E1,April 2023 Iberian heatwave,Syrian Petroleum,state_owned,0.08,13667.379069957507,17084.223837446883,23917.913372425635
E1,April 2023 Iberian heatwave,Cloud Peak,investor_owned,0.07,12783.936316386109,15979.920395482635,22371.888553675686
E1,April 2023 Iberian heatwave,Vistra,investor_owned,0.07,12073.717632142436,15092.147040178044,21129.00585624926
E1,April 2023 Iberian heatwave,Teck Resources,investor_owned,0.07,11328.85413403322,14161.067667541523,19825.49473455813
E1,April 2023 Iberian heatwave,Inpex,investor_owned,0.06,10878.471553781133,13598.089442226417,19037.32521911698
E1,April 2023 Iberian heatwave,Naftogaz,state_owned,0.06,10843.826739915588,13554.783424894486,18976.696794852276
E1,April 2023 Iberian heatwave,Coterra Energy,investor_owned,0.06,10254.864904201324,12818.581130251654,17946.013582352312
E1,April 2023 Iberian heatwave,PTTEP,state_owned,0.05,9354.099743697152,11692.62467962144,16369.674551470014
E1,April 2023 Iberian heatwave,OMV Group,investor_owned,0.05,8782.460314915661,10978.075393644576,15369.305551102403
E1,April 2023 Iberian heatwave,EQT Corporation,investor_owned,0.05,8669.864669852639,10837.330837315798,15172.263172242116
E1,April 2023 Iberian heatwave,Southwestern Energy,investor_owned,0.04,8505.3018039913,10631.627254989126,14884.278156984772
E1,April 2023 Iberian heatwave,Woodside Energy,investor_owned,0.04,7950.98478214258,9938.730977678226,13914.223368749514
E1,April 2023 Iberian heatwave,UK Coal,investor_owned,0.04,7639.181457352675,9548.976821690843,13368.56755036718
E1,April 2023 Iberian heatwave,Cemex,investor_owned,0.05,7509.263405356881,9386.5792566961,13141.210959374539
E1,April 2023 Iberian heatwave,Santos,investor_owned,0.04,7249.427301365293,9061.784126706616,12686.49777738926
E1,April 2023 Iberian heatwave,Pioneer Natural Resources,investor_owned,0.04,7154.154063235044,8942.692579043805,12519.769610661326
E1,April 2023 Iberian heatwave,Murphy Oil,investor_owned,0.04,6625.820651785483,8282.275814731855,11595.186140624593
E1,April 2023 Iberian heatwave,Orlen,state_owned,0.04,6236.066495798102,7795.083119747627,10913.116367646677
E1,April 2023 Iberian heatwave,Antero,investor_owned,0.03,5248.689300630069,6560.8616257875865,9185.206276102619
E1,April 2023 Iberian heatwave,Taiheiyo Cement,investor_owned,0.03,5023.498010504027,6279.372513130033,8791.121518382046
E1,April 2023 Iberian heatwave,Continental Resources,investor_owned,0.02,3940.847577205745,4926.059471507181,6896.4832601100525
E1,April 2023 Iberian heatwave,Tourmaline Oil,investor_owned,0.02,3897.5415598738136,4871.926949842267,6820.697729779173
E1,April 2023 Iberian heatwave,Whitehaven Coal,investor_owned,0.02,3706.995083613316,4633.743854516645,6487.241396323302
